Time,User,Page,Data
2022-10-04 07:35:23.175361,Raze,DeviceDetails,"{'ID': 'R4Q8X09105', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-10-04 07:35:32.985240,Raze,DeviceDetails,"{'ID': 'R4Q8X09105', 'deviceId': False, 'location': False, 'contact': False, 'notes': 'OrgaRent (Leasing Device)'}"
2022-10-04 12:19:15.823700,Raze,DeviceDetails,"{'ID': 'L875533842', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-10-10 05:51:00.128864,Raze,DeviceDetails,"{'ID': 'L875533842', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-10-14 11:19:50.272456,Raze,DeviceDetails,"{'ID': 'QQX9600567', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-10-14 11:20:56.950241,Raze,DeviceDetails,"{'ID': 'QQX9600567', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-10-14 11:23:41.424887,Raze,DeviceDetails,"{'ID': 'QQX9600567', 'deviceId': False, 'location': 'Schreiner Werkstatt EG ', 'contact': False, 'notes': 'mangelhaftes Gerät austausch geplant'}"
2022-11-29 15:02:48.677187,Raze,DeviceDetails,"{'ID': 'E74552K5J157940', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-11-29 15:03:57.187735,Raze,DeviceDetails,"{'ID': 'E79028F1N485578', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-11-29 15:05:13.183176,Raze,DeviceDetails,"{'ID': 'LW16945225', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-11-29 15:06:41.809676,Raze,DeviceDetails,"{'ID': 'L874820075', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-12-01 08:44:53.719789,Raze,DeviceDetails,"{'ID': 'E79032E1N463928', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-12-21 15:25:46.512460,Raze,DeviceDetails,"{'ID': 'E79028A1N380410', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-12-21 15:25:58.431033,Raze,DeviceDetails,"{'ID': 'E79028A1N380410', 'deviceId': False, 'location': 'Büro', 'contact': 'Frau Nettlebusch', 'notes': False}"
